data_previsao,ano_eleicao,cenario,modelo,candidato,voto_valido_estimado,intervalo_baixo,intervalo_alto,probabilidade_liderar,probabilidade_ir_ao_segundo_turno,fonte_dados_ate,observacao
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_pesquisa,Edmilson Costa,0.6976,0.0,10.9598,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_pesquisa,Clariana Barão,0.6976,0.0,10.9598,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_pesquisa,Wilson Grassi,0.171,0.0,10.4332,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_pesquisa,Hertz Dias,0.057,0.0,10.3192,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_ajustado,Lula,42.3497,31.7228,52.9766,0.7284,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_ajustado,Flávio Bolsonaro,37.7606,27.1337,48.3875,0.2716,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_ajustado,Augusto Cury,8.4331,0.0,19.06,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_ajustado,Renan Santos,5.6358,0.0,16.2627,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_ajustado,Ronaldo Caiado,3.9531,0.0,14.58,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_ajustado,Romeu Zema,2.0702,0.0,12.6971,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_ajustado,Edmilson Costa,1.6326,0.0,12.2595,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_ajustado,Clariana Barão,1.6326,0.0,12.2595,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_ajustado,Samara Martins,1.3817,0.0,12.0086,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_ajustado,Rui Costa Pimenta,1.2097,0.0,11.8366,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_ajustado,Wilson Grassi,0.171,0.0,10.7979,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_ajustado,Hertz Dias,0.057,0.0,10.6839,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_efeito_casa,Lula,43.5363,32.8413,54.2313,0.774,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_efeito_casa,Flávio Bolsonaro,37.7606,27.0656,48.4556,0.226,0.9998,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_efeito_casa,Augusto Cury,8.4331,0.0,19.1281,0.0,0.0002,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_efeito_casa,Renan Santos,5.6358,0.0,16.3308,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_efeito_casa,Ronaldo Caiado,3.9531,0.0,14.6481,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_efeito_casa,Romeu Zema,2.0702,0.0,12.7652,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_efeito_casa,Edmilson Costa,1.6326,0.0,12.3276,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_efeito_casa,Clariana Barão,1.6326,0.0,12.3276,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_efeito_casa,Samara Martins,1.3817,0.0,12.0767,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_efeito_casa,Rui Costa Pimenta,1.2097,0.0,11.9047,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_efeito_casa,Wilson Grassi,0.171,0.0,10.866,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_efeito_casa,Hertz Dias,0.057,0.0,10.752,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_temporal,Lula,39.9885,33.9885,45.9885,0.7796,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_temporal,Flávio Bolsonaro,36.6546,30.6546,42.6546,0.2204,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_temporal,Augusto Cury,12.0502,6.0502,18.0502,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_temporal,Ronaldo Caiado,0.4463,0.0,6.4463,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio,baseline_temporal,Romeu Zema,0.0,0.0,6.0,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_temporal,Lula,45.7814,39.7814,51.7814,0.986,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_temporal,Flávio Bolsonaro,36.0572,30.0572,42.0572,0.014,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_temporal,Ronaldo Caiado,5.173,0.0,11.173,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_temporal,Romeu Zema,3.056,0.0,9.056,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - Lula vs Flavio ampliado,baseline_temporal,Augusto Cury,1.9827,0.0,7.9827,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_temporal,Lula,43.5672,37.5672,49.5672,0.6328,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_temporal,Flávio Bolsonaro,42.0879,36.0879,48.0879,0.3672,1.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_temporal,Renan Santos,10.067,4.067,16.067,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_temporal,Wilson Grassi,3.4612,0.0,9.4612,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_temporal,Augusto Cury,3.3618,0.0,9.3618,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_temporal,Rui Costa Pimenta,3.1236,0.0,9.1236,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_temporal,Clariana Barão,2.8786,0.0,8.8786,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_temporal,Edmilson Costa,2.8786,0.0,8.8786,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_temporal,Romeu Zema,1.9042,0.0,7.9042,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_temporal,Samara Martins,1.6488,0.0,7.6488,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_temporal,Hertz Dias,1.1537,0.0,7.1537,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
2026-09-11,2026,Primeiro turno 2026 - agosto/setembro com Renan,baseline_temporal,Ronaldo Caiado,0.0,0.0,6.0,0.0,0.0,2026-09-11,"Modelos inferencial, ML e rede neural aguardam pesquisas historicas para treino."
